,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,12.10.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,October,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,527672,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,30W LED BTN/FTG 7000K (N-SERIES)-NOVEX,,PCS,10,12,120,5,6,126,,,,,
,,,,,,,,,,,,,,,300W LED SOLAR LIGHT (A-SERIES)-NOVEX,,PCS,3,95,285,5,14.25,299.25,,,,,
,,,,,,,,,,,,,,,200W 12V 16.5A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,10,16.5,165,5,8.25,173.25,,,,,
,,,,,,,,,,,,,,,300W 12V 25A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,10,19,190,5,9.5,199.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,18.10.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,October,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,528982,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,30W TRACK LIGHT WW (BLK) - NOVEX,,PCS,10,23,230,5,11.5,241.5,,,,,
,,,,,,,,,,,,,,,200W 12V 16.5A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,15,16.5,247.5,5,12.38,259.88,,,,,
,,,,,,,,,,,,,,,22W P/LED RD 7000K (YORK)-NOVEX,,PCS,30,7,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,16.09.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,September,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,522686,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,13A 2G W/SWT TRAILING SKT + NEON,,PCS,10,8.8,88,5,4.4,92.4,,,,,
,,,,,,,,,,,,,,,13A 4G W/SWT TRAILING SKT+ NEON,,PCS,10,16.5,165,5,8.25,173.25,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,18.09.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,September,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,523124,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,22W P/LED RD 7000K (YORK) - NOVEX,,PCS,40,7,280,5,14,294,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,28.09.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,September,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,524813,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,22W P/LED RD 7000K (YORK) - NOVEX,,PCS,30,7,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,02.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,531770,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,200W 12V 16.5A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,15,16.5,247.5,5,12.38,259.88,,,,,
,,,,,,,,,,,,,,,300W 12V 25A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,15,19,285,5,14.25,299.25,,,,,
,,,,,,,,,,,,,,,25MM PPR PIPE (25 x 4.2 x 4m) - NOVEX,,PCS,75,8.3,622.5,5,31.13,653.63,,,,,
,,,,,,,,,,,,,,,50W LED FLOOD LIGHT (NAPOLI SERIES) ww-CAVIL,,PCS,6,22,132,5,6.6,138.6,,,,,
,,,,,,,,,,,,,,,50W LED FLOOD LIGHT (NAPOLI SERIES) D/L-CAVIL,,PCS,10,22,220,5,11,231,,,,,
,,,,,,,,,,,,,,,100W LED FLOOD LIGHT (NAPOLI SERIES) D/L-CAVIL,,PCS,10,40,400,5,20,420,,,,,
,,,,,,,,,,,,,,,200W LED FLOOD LIGHT (NAPOLI SERIES) D/L-CAVIL,,PCS,6,70,420,5,21,441,,,,,
,,,,,,,,,,,,,,,BASIN MIXER (VERONA SERIES) - CAVIL ,,PCS,6,24,144,5,7.2,151.2,,,,,
,,,,,,,,,,,,,,,SINK MIXER-CAVIL,,PCS,6,32,192,5,9.6,201.6,,,,,
,,,,,,,,,,,,,,,BATH MIXER (VERONA SERIES)-CAVIL ,,PCS,6,36,216,5,10.8,226.8,,,,,
,,,,,,,,,,,,,,,60CM COOKER HOOD WHITE-NOVEX ,,PCS,2,150,300,5,15,315,,,,,
,,,,,,,,,,,,,,,90CM COOKER HOOD WHITE- NOVEX ,,PCS,1,195,195,5,9.75,204.75,,,,,
,,,,,,,,,,,,,,,13A 4G W/SWT TRAILING SKT + NEON ,,PCS,10,16.5,165,5,8.25,173.25,,,,,
,,,,,,,,,,,,,,,CYLINDER (70MM) WITH 5 N-KEYS SATIN NICKLE-CAVIL,,PCS,20,5,100,5,5,105,,,,,
,,,,,,,,,,,,,,,FAN REGULATOR (3X3)-NOVEX,,PCS,10,11,110,5,5.5,115.5,,,,,
,,,,,,,,,,,,,,,SINK MIXER (BLACK)-NOVEX,,PCS,6,65,390,5,19.5,409.5,,,,,
,,,,,,,,,,,,,,,TIME DELAY URINAL TAP- NOVEX,,PCS,4,31,124,5,6.2,130.2,,,,,
,,,,,,,,,,,,,,,100W E27 LED BULB D/L (DIAMOND SERIES)-CAVIL,,PCS,15,14,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,BED SWITCH (WIRE THROUGH) - CAVIL,,PCS,100,1,100,5,5,105,,,,,
,,,,,,,,,,,,,,,13W PLC D/L-NOVEX,,PCS,12,3,36,5,1.8,37.8,,,,,
,,,,,,,,,,,,,,,18W PLC D/L-NOVEX,,PCS,12,3.5,42,5,2.1,44.1,,,,,
,,,,,,,,,,,,,,,26W PLC D/L-NOVEX,,PCS,12,4,48,5,2.4,50.4,,,,,
,,,,,,,,,,,,,,,22W P/LED RD 7000K (YORK)-NOVEX,,PCS,90,7,630,5,31.5,661.5,,,,,
,,,,,,,,,,,,,,,22W P/LED RD 3000K (YORK) - NOVEX,,PCS,30,7,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,22W P/LED RD 4000K (YORK) - NOVEX,,PCS,30,7,210,5,10.5,220.5,,,,,
,,,,,,,,,,,,,,,9w P/LED RD 7000K (YORK) - NOVEX ,,PCS,25,4.25,106.25,5,5.31,111.56,,,,,
,,,,,,,,,,,,,,,INLET HOSE 1.5M (WASHING MACHINE) - NOVEX,,PCS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,FAN DIMMAR WHITE (TORONTO SERIES)- NOVEX,,PCS,8,10.5,84,5,4.2,88.2,,,,,
,,,,,,,,,,,,,,,7W P/LED S/LIGHT RD (Q-Series) 3C- (WHT)-NOVEX,,PCS,30,6.5,195,5,9.75,204.75,,,,,
,,,,,,,,,,,,,,,36W P/LED RD SRF 7000K (WINCHESTER SERIES)-NOVEX,,PCS,15,14.5,217.5,5,10.88,228.38,,,,,
,,,,,,,,,,,,,,,5OW P/LED RD SRF 7000K (WINCHESTER SERIES)-NOVEX,,PCS,15,21,315,5,15.75,330.75,,,,,
,,,,,,,,,,,,,,,15W COB LED D/LIGHT WHITE (NEW)- NOVEX,,PCS,15,15,225,5,11.25,236.25,,,,,
,,,,,,,,,,,,,,,"FOLDABLE TABLE/STAND FAN 8"" RECHARGEABLE W/REMOTE-BURAQ",,PCS,4,52,208,5,10.4,218.4,,,,,
,,,,,,,,,,,,,,,12W E27 LED SENSOR BULB NOVEX ,,PCS,12,7.5,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,96W P/LED G-FTG WHT (60X60) (ECO) - CAVIL,,PCS,20,30,600,5,30,630,,,,,
,,,,,,,,,,,,,,,CONNECTORS FOR LED ROPE LIGHT (RGB) -NOVEX,,PCS,20,0.6,12,5,0.6,12.6,,,,,
,,,,,,,,,,,,,,,200W 12V 16.5A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,15,16.5,247.5,5,12.38,259.88,,,,,
,,,,,,,,,,,,,,,300W 12V 25A METAL LED DRIVER (ECO-SERIES)-NOVEX,,PCS,15,19,285,5,14.25,299.25,,,,,
,,,,,,,,,,,,,,,25MM PPR PIPE (25 x 4.2 x 4m) - NOVEX,,PCS,75,8.3,622.5,5,31.13,653.63,,,,,
Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,vptrdg@eim.ae
City,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dubai
State ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dubai
Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,UAE
Zip Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,31/08/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,August
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,395428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,50,2.5,,5,6.25,131.25,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 10X10 GIFFEX
,,,LTH,10,0.8,,5,0.4,8.4,,,,,,,,,,,,,,,,,,,HTG HEAT PROOF COTTON SLEEVE 6.0MM 1MTR
,,,LTH,10,1.1,,5,0.55,11.55,,,,,,,,,,,,,,,,,,,HTG HEAT PROOF COTTON SLEEVE 10.0MM 1MTR
,,,LTH,10,3,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,HTG HEAT PROOF COTTON SLEEVE 16.0MM 1MTR
,,,LTH,10,4.5,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,HTG HEAT PROOF COTTON SLEEVE 25.0MM 1MTR
,,,NOS,1,48,,5,2.4,50.4,,,,,,,,,,,,,,,,,,,CRIMPING TOOL GSC8 16-6
,,,NOS,10,3,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,DOUBLE SIDE NANO TAPE 1MMX19MMX2M GIFFEX
,,,NOS,10,4,,5,2,42,,,,,,,,,,,,,,,,,,,DOUBLE SIDE NANO TAPE 1MMX24MMX2M GIFFEX
,,,NOS,10,3,,5,1.5,31.5,,,,,,,,,,,,,,,,,,,MOUNTING TAPE DOUBLE SIDE 1MMX24MMX3M GIFFEX
,,,NOS,10,4,,5,2,42,,,,,,,,,,,,,,,,,,,MOUNTING TAPE DOUBLE SIDE 1MMX48MMX3M GIFFEX
,,,NOS,1,35,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,GXK-1200 TERMINAL WITH TOOL
,,,NOS,100,0.68,,5,3.4,71.4,,,,,,,,,,,,,,,,,,,"GIFFEX INSULATION TAPE GX102 3/4""X10YDS Y/G"
,,,PKT,10,2.75,,5,1.38,28.88,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1508 BLUE 1.5MM GIFFEX
,,,PKT,10,2.75,,5,1.38,28.88,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1508 YELLOW 1.5MM GIFFEX
,,,PKT,10,3.2,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,INSULATED CORD END E2508 RED 2.5MM GIFFEX
,,,PKT,10,3.2,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,INSULATED CORD END E2508 YELLOW 2.5MM GIFFEX
,,,PKT,10,3.2,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,INSULATED CORD END E2508 BLUE 2.5MM GIFFEX 
,,,PKT,10,3.2,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,INSULATED CORD END E2508 BLACK 2.5MM GIFFEX
,,,NOS,5,3.9,,5,0.98,20.48,,,,,,,,,,,,,,,,,,,INSULATED CORD END E4009 RED 4.0MM GIFFEX
,,,PKT,10,3.9,,5,1.95,40.95,,,,,,,,,,,,,,,,,,,INSULATED CORD END E4009 YELLOW 4.0MM GIFFEX 
,,,PKT,10,3.9,,5,1.95,40.95,,,,,,,,,,,,,,,,,,,INSULATED CORD END E4009 BLUE 4.0MM GIFFEX
,,,PKT,10,3.9,,5,1.95,40.95,,,,,,,,,,,,,,,,,,,INSULATED CORD END E4009 BLACK 4.0MM GIFFEX
,,,PKT,5,5.75,,5,1.44,30.19,,,,,,,,,,,,,,,,,,,INSULATED CORD END E6012 RED 6.0MM GIFFEX 
,,,PKT,5,5.75,,5,1.44,30.19,,,,,,,,,,,,,,,,,,,INSULATED CORD END E6012 YELLOW 6.0MM GIFFEX
,,,PKT,5,5.75,,5,1.44,30.19,,,,,,,,,,,,,,,,,,,INSULATED CORD END E6012 BLUE 6.0MM GIFFEX 
,,,PKT,5,5.75,,5,1.44,30.19,,,,,,,,,,,,,,,,,,,INSULATED CORD END E6012 BLACK 6.0MM GIFFEX
,,,PKT,5,7.5,,5,1.88,39.38,,,,,,,,,,,,,,,,,,, INSULATED CORD END E1012 RED 10.0 MM GIFFEX
,,,PKT,5,7.5,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1012 YELLOW 10.0MM GIFFEX
,,,PKT,5,7.5,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1012 BLUE 10.0 MM GIFFEX
,,,PKT,5,7.5,,5,1.88,39.38,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1012 BLACK 10.0MM GIFFEX
,,,NOS,2,37,,5,3.7,77.7,,,,,,,,,,,,,,,,,,,WIRE PULLING LUBRICANT 1 Gallon GX-WPL1G GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/08/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,August
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,392953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,100,0.65,,5,3.25,68.25,,,,,,,,,,,,,,,,,,,NYLON GLAND WHITE PG-21
,,,NOS,100,0.85,,5,4.25,89.25,,,,,,,,,,,,,,,,,,,NYLON GLAND WHITE PG-25
,,,NOS,100,0.8,,5,4,84,,,,,,,,,,,,,,,,,,,NYLON GLAND MTYPE WHITE M-32
,,,NOS,2,60,,5,6,126,,,,,,,,,,,,,,,,,,,LUX LED DRIVER MT500W 12V 42A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2/2/2024 0:00
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,January
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,347645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,100,2.25,,5,22.5,472.5,,,,,,,,,,,,,,,,,,,WALL PLUG 7MM X 35 NYLON GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,24/07/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,July
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,386519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,PKT,3,9,,5,1.35,28.35,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1612 RED 16.0MM GIFFEX
,,,PKT,3,9,,5,1.35,28.35,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1612 YELLOW 16.0MM GIFFEX
,,,PKT,3,9,,5,1.35,28.35,,,,,,,,,,,,,,,,,,,INSULATED CORD END E1612 BLACK 16.0MM GIFFEX
,,,PKT,3,5,,5,0.75,15.75,,,,,,,,,,,,,,,,,,,INSULATED CLOSE END WIRE CONNECTOR DL-03
,,,NOS,3,14,,5,2.1,44.1,,,,,,,,,,,,,,,,,,,"ALUMINIUM DUCT DOUBLE LAYER 6"" X 5MTR GIFFEX"
,,,NOS,100,0.75,,5,3.75,78.75,,,,,,,,,,,,,,,,,,,CERAMIC HOLDER MR16
,,,ROLL,1,80,,5,4,84,,,,,,,,,,,,,,,,,,,FLEXIBLE PIPE AD15.8 (12X15.8MM) PE 100MTR
,,,PKT,3,6,,5,0.9,18.9,,,,,,,,,,,,,,,,,,,INSULATED FEMALE TERMINAL FDD1.25-187 GIFFEX
,,,PKT,3,7,,5,1.05,22.05,,,,,,,,,,,,,,,,,,,INSULATED FEMALE TERMINAL FDD2-187 GIFFEX
,,,PKT,3,9,,5,1.35,28.35,,,,,,,,,,,,,,,,,,,INSULATED FEMALE TERMINAL FDD5.5-250 GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,19/07/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,July
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,385337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,10,11,,5,5.5,115.5,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 40S
,,,NOS,10,12,,5,6,126,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 40L
,,,LTH,20,7.5,,5,7.5,157.5,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 38X25 GIFFEX
,,,LTH,50,4.25,,5,10.63,223.13,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 25X16 GIFFEX
,,,LTH,80,3.25,,5,13,273,,,,,,,,,,,,,,,,,,,STICKER TYPE PVC TRUNKING 16X16 GIFFEX
,,,LTH,6,13,,5,3.9,81.9,,,,,,,,,,,,,,,,,,,PVC TRUNKING 75X50 GIFFEX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date ,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/07/2024
Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,July
Invoice No,,,,,,,,,,,,,,,,,,,,,,,,,,,,385209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,,,,,,,,,,,,,,,Product Name
,,,NOS,10,3.35,,5,1.68,35.18,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 20S
,,,NOS,10,3.5,,5,1.75,36.75,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 20L
,,,NOS,10,5.1,,5,2.55,53.55,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 25S
,,,NOS,10,5.4,,5,2.7,56.7,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 25L
,,,NOS,10,7.35,,5,3.68,77.18,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 32S
,,,NOS,10,7.75,,5,3.88,81.38,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 32L
,,,NOS,3,17.5,,5,2.63,55.13,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 50S
,,,NOS,3,18,,5,2.7,56.7,,,,,,,,,,,,,,,,,,,BRASS CABLE GLAND BW 50L
,,,NOS,3,60,,5,9,189,,,,,,,,,,,,,,,,,,,LED DRIVER MT500W 12V 42A
,,,NOS,3,150,,5,22.5,472.5,,,,,,,,,,,,,,,,,,,LED DRIVER MT800W 12V 66.6A
,,,NOS,3,275,,5,41.25,866.25,,,,,,,,,,,,,,,,,,,LED DRIVER MT1000W 12V 83.33A
,,,NOS,10,18,,5,9,189,,,,,,,,,,,,,,,,,,,LED DRIVER MT120W 12V 10A
,,,NOS,5,32,,5,8,168,,,,,,,,,,,,,,,,,,,LED DRIVER MT360W 12V 30A
,,,NOS,4,75,,5,15,315,,,,,,,,,,,,,,,,,,,TELEPHONE CABINET 400 X 400 X 120
,,,NOS,2,85,,5,8.5,178.5,,,,,,,,,,,,,,,,,,,TELEPHONE CABINET 600X 400 X120
,,,NOS,4,13,,5,2.6,54.6,,,,,,,,,,,,,,,,,,,CABLE PULLER SPRING TYPE 4mmx10 MTR. GIFFEX
,,,NOS,4,18,,5,3.7,77.7,,,,,,,,,,,,,,,,,,,CABLE PULLER SPRING TYPE 4mmx15 MTR. GIFFEX
,,,NOS,4,25,,5,5,105,,,,,,,,,,,,,,,,,,,CABLE PULLER SPRING TYPE 4mmx20 MTR. GIFFEX
,,,NOS,4,32,,5,6.4,134.4,,,,,,,,,,,,,,,,,,,CABLE PULLER SPRING TYPE 4mmx25 MTR. GIFFEX
,,,NOS,4,38,,5,7.6,159.6,,,,,,,,,,,,,,,,,,,CABLE PULLER SPRING TYPE 4mmx30 MTR. GIFFEX
,,,ROLL,1,32,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 2MM RED 200Mtr./Roll
,,,ROLL,1,32,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 2MM YELLOW 200Mtr./Roll
,,,ROLL,1,32,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 2MM BLUE 200Mtr./Roll
,,,ROLL,1,32,,5,1.6,33.6,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 2MM BLACK 200Mtr./Roll
,,,ROLL,1,40,,5,2,42,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 2MM Y/G 200Mtr./Roll
,,,ROLL,1,41,,5,2.05,43.05,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 3MM RED 200Mtr./Roll
,,,ROLL,1,41,,5,2.05,43.05,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 3MM YELLOW 200Mtr./Roll
,,,ROLL,1,41,,5,2.05,43.05,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 3MM BLUE 200Mtr./Roll
,,,ROLL,1,41,,5,2.05,43.05,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 3MM BLACK 200Mtr./Roll
,,,ROLL,1,53,,5,2.65,55.65,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 3MM Y/G 200Mtr./Roll 
,,,ROLL,1,45,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 4MM RED 200Mtr./Roll
,,,ROLL,1,45,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 4MM YELLOW 200Mtr./Roll
,,,ROLL,1,45,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 4MM BLUE 200Mtr./Roll
,,,ROLL,1,45,,5,2.25,47.25,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 4MM BLACK 200Mtr./Roll
,,,ROLL,1,61,,5,3.05,64.05,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 4MM Y/G 200Mtr./Roll 
,,,ROLL,1,28,,5,1.4,29.4,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 6MM RED 100Mtr./Roll
,,,ROLL,1,28,,5,1.4,29.4,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 6MM YELLOW 100Mtr./Roll
,,,ROLL,1,28,,5,1.4,29.4,,,,,,,,,,,,,,,,,,,LSD HEAT SHRINKABLE SLEEVE 6MM BLUE 100Mtr./Roll
